ID,Incident Number,Incident Date,Age,Sex of Victim,Race of Victim,Injury,Relationship,State,Location
1396,N01ROTCVD N: ,20020907,09: ,M: Male,W: White,N: None,ST: Victim was Stranger,42: TX,13: Highway/Road/Alley
1397,N01ROTCVD N: ,20020907,37: ,F: Female,W: White,N: None,ST: Victim was Stranger,42: TX,13: Highway/Road/Alley
1398,N01ROTCVD N: ,20020907,11: ,M: Male,W: White,N: None,ST: Victim was Stranger,42: TX,13: Highway/Road/Alley
1399,CI01RO5VF2 N: ,20020926,40: ,F: Female,B: Black,N: None,SE: Victim was Spouse,42: TX,20: Residence/Home
1400,CI01ROELS2 N: ,20020930,13: ,F: Female,B: Black,N: None,CH: Victim was Child,42: TX,7: Convenience Store
1401,T0B-CSVV2 N: ,20020907,19: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1402,N01RORH-C N: ,20021014,24: ,F: Female,B: Black,N: None,ST: Victim was Stranger,42: TX,20: Residence/Home
1403,5J-UZ2S5XAEM: ,20020929,18: ,F: Female,B: Black,M: Apparent Minor Injury,ST: Victim was Stranger,42: TX,20: Residence/Home
1404,5J-UZ2S5XAEM: ,20020929,00: Unknown,U: Unknown,U: Unknown,N: None,ST: Victim was Stranger,42: TX,20: Residence/Home
1405,T04-BSD72 N: ,20021024,15: ,F: Female,B: Black,N: None,ST: Victim was Stranger,42: TX,25: Other/unknown
1406,T04-W3L72 N: ,20021018,32: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,42: TX,20: Residence/Home
1407,T04-WED72 N: ,20021018,16: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1408,T04-YTV72 N: ,20021013,23: ,M: Male,W: White,M: Apparent Minor Injury,: ,42: TX,20: Residence/Home
1409,CT0Q1FZU72 N: ,20021007,23: ,M: Male,W: White,N: None,SE: Victim was Spouse,42: TX,13: Highway/Road/Alley
1410,CT0QSEZU72 N: ,20020925,36: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,42: TX,20: Residence/Home
1411,T-DIOZ 728N: ,20020904,17: ,F: Female,W: White,N: None,RU: Relationship Unknown,42: TX,13: Highway/Road/Alley
1412,T0IAWSQ72 N: ,20020917,20: ,M: Male,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,42: TX,13: Highway/Road/Alley
1413,3L2XN2YQ-F39: ,20020916,35: ,F: Female,B: Black,M: Apparent Minor Injury,XS: Victim was Ex-Spouse,42: TX,20: Residence/Home
1414,K0BL62 I14-: ,20020921,14: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1415,K0BL628IT4I: ,20021017,01: ,F: Female,W: White,N: None,: ,42: TX,25: Other/unknown
1416,LN0 KOPL I8T: ,20021003,35: ,M: Male,W: White,N: None,SE: Victim was Spouse,42: TX,20: Residence/Home
1417,NH0K729N 85O: ,20021010,06: ,F: Female,W: White,N: None,CH: Victim was Child,42: TX,20: Residence/Home
1418,UG085HPHXL96: ,20020905,23: ,F: Female,W: White,N: None,CS: Victim was Common-Law Spouse,42: TX,13: Highway/Road/Alley
1419,UG085HPHXL96: ,20020905,03: ,M: Male,W: White,N: None,CH: Victim was Child,42: TX,13: Highway/Road/Alley
1420,UG085HPHXL96: ,20020905,02: ,M: Male,W: White,N: None,CH: Victim was Child,42: TX,13: Highway/Road/Alley
1421,VX0TYBKVS-6D: ,20020921,12: ,M: Male,B: Black,N: None,ST: Victim was Stranger,42: TX,18: Parking Lot/Garage
1422,Z80X4KHPR62L: ,20021020,20: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,42: TX,3: Bar/Nightclub
1423,2W0JPU7 S608: ,20020914,19: ,M: Male,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,42: TX,20: Residence/Home
1424,2W0JPU7 S608: ,20020914,16: ,M: Male,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,42: TX,20: Residence/Home
1425,LN0 KOZTS-86: ,20020928,21: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,42: TX,"24: Specialty Store (TV, Fur, Etc.)"
1426,LN0 KOZTS-86: ,20020928,26: ,M: Male,W: White,N: None,AQ: Victim was Acquaintance,42: TX,"24: Specialty Store (TV, Fur, Etc.)"
1427,O206J4KSEU7V: ,20020913,20: ,M: Male,W: White,N: None,OK: Victim was Otherwise Known,42: TX,13: Highway/Road/Alley
1428,O206J4KSEU7V: ,20020913,21: ,M: Male,W: White,N: None,OK: Victim was Otherwise Known,42: TX,13: Highway/Road/Alley
1429,P902W5HLOR38: ,20020928,15: ,F: Female,W: White,M: Apparent Minor Injury,OF: Victim was Other Family Member,42: TX,20: Residence/Home
1430,P902W5M74O3T: ,20020911,31: ,M: Male,W: White,N: None,AQ: Victim was Acquaintance,42: TX,20: Residence/Home
1431,P903W5HW-P3T: ,20021022,27: ,M: Male,W: White,N: None,AQ: Victim was Acquaintance,42: TX,20: Residence/Home
1432,UG085HQ2P39D: ,20020915,18: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1433,0824Q07PI0ZA: ,20021008,36: ,F: Female,W: White,N: None,OK: Victim was Otherwise Known,42: TX,18: Parking Lot/Garage
1434,082I40ZZS0ZA: ,20020919,29: ,F: Female,W: White,N: None,RU: Relationship Unknown,42: TX,25: Other/unknown
1435,082IP0HOZ0ZA: ,20020917,25: ,F: Female,B: Black,M: Apparent Minor Injury,SE: Victim was Spouse,42: TX,20: Residence/Home
1436,082IQ0OPS0ZA: ,20020917,22: ,F: Female,W: White,N: None,ST: Victim was Stranger,42: TX,23: Service/Gas Station
1437,082IW0XOS0ZA: ,20020920,09: ,M: Male,B: Black,N: None,: ,42: TX,22: School/College
1438,082IY07VZ0ZA: ,20020923,25: ,F: Female,B: Black,N: None,: ,42: TX,20: Residence/Home
1439,082N50HLU0ZA: ,20021006,11: ,F: Female,W: White,N: None,: ,42: TX,20: Residence/Home
1440,082NP0XLZ0ZA: ,20020927,09: ,M: Male,W: White,N: None,CH: Victim was Child,42: TX,18: Parking Lot/Garage
1441,082NP0XLZ0ZA: ,20020927,10: ,F: Female,W: White,N: None,CH: Victim was Child,42: TX,18: Parking Lot/Garage
1442,082NY0PP80ZA: ,20021003,10: ,F: Female,B: Black,N: None,AQ: Victim was Acquaintance,42: TX,13: Highway/Road/Alley
1443,082UK0ZZ80ZA: ,20020915,00: Unknown,U: Unknown,U: Unknown,N: None,: ,42: TX,5: Commercial/Office Building
1444,082UQ0FOS0ZA: ,20020908,41: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,42: TX,13: Highway/Road/Alley
1445,082UY0Z3I0ZA: ,20020913,03: ,F: Female,W: White,N: None,ST: Victim was Stranger,42: TX,"24: Specialty Store (TV, Fur, Etc.)"
1446,082W50OPJ0ZA: ,20021026,20: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,42: TX,10: Field/Woods
1447,082Z70HZ80ZA: ,20020902,36: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,18: Parking Lot/Garage
1448,082Z70ZPU0ZA: ,20020902,21: ,M: Male,W: White,N: None,ST: Victim was Stranger,42: TX,7: Convenience Store
1449,082ZY0F3U0ZA: ,20020903,26: ,M: Male,B: Black,N: None,: ,42: TX,18: Parking Lot/Garage
1450,192AW1HQ71PI: ,20021019,03: ,F: Female,W: White,N: None,CH: Victim was Child,42: TX,20: Residence/Home
1451,192AW1HQ71PI: ,20021019,01: ,M: Male,W: White,N: None,CH: Victim was Child,42: TX,20: Residence/Home
1452,192AW1HQ71PI: ,20021019,26: ,F: Female,W: White,N: None,SE: Victim was Spouse,42: TX,20: Residence/Home
1453,192G012871PI: ,20021004,03: ,M: Male,W: White,N: None,: ,42: TX,13: Highway/Road/Alley
1454,192G515Q71PI: ,20021005,26: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,42: TX,18: Parking Lot/Garage
1455,192N01SP71PI: ,20020924,08: ,F: Female,B: Black,N: None,: ,42: TX,20: Residence/Home
1456,192WU1HHN1PI: ,20021011,BB: 7-364 Days Old,F: Female,W: White,N: None,CH: Victim was Child,42: TX,20: Residence/Home
1457,192WU1HHN1PI: ,20021011,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1458,22304KAYX2B9: ,20021027,18: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1459,223JRKI4X2B9: ,20021031,25: ,F: Female,B: Black,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,42: TX,20: Residence/Home
1460,3A00Q-F89L1H: ,20020903,46: ,M: Male,W: White,N: None,XS: Victim was Ex-Spouse,42: TX,11: Government/Public Building
1461,P902W5HL2837: ,20021001,35: ,M: Male,W: White,N: None,XS: Victim was Ex-Spouse,42: TX,20: Residence/Home
1462,UG085HP6F39Y: ,20020906,38: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,42: TX,20: Residence/Home
1463,Z80X4KOCRO26: ,20020913,13: ,M: Male,W: White,N: None,: ,42: TX,20: Residence/Home
1464,2L1J21OY-F39: ,20021111,23: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,8: Department/Discount Store
1465,5J5-HUTD1AEM: ,20021204,17: ,F: Female,W: White,N: None,RU: Relationship Unknown,14: IA,13: Highway/Road/Alley
1466,R80BYMEC72 N: ,20021217,24: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
1467,08S6PU0 841A: ,20021107,30: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
1468,CI01RFT9F0 N: ,20021110,17: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
1469,CI01RFTC-- N: ,20021107,37: ,F: Female,W: White,N: None,ST: Victim was Stranger,14: IA,20: Residence/Home
1470,T01RAEVQX N: ,20021221,35: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
1471,T01RAQLQS N: ,20021228,12: ,F: Female,W: White,N: None,ST: Victim was Stranger,14: IA,25: Other/unknown
1472,T01RAQLQS N: ,20021228,12: ,F: Female,W: White,N: None,ST: Victim was Stranger,14: IA,25: Other/unknown
1473,T01RATLVU N: ,20021211,00: Unknown,F: Female,B: Black,N: None,RU: Relationship Unknown,14: IA,23: Service/Gas Station
1474,T01RWQL6X N: ,20021105,17: ,M: Male,W: White,N: None,OF: Victim was Other Family Member,14: IA,18: Parking Lot/Garage
1475,CI01RVSV6S N: ,20021123,37: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,25: Other/unknown
1476,4I2CL419G0W5: ,20021106,17: ,F: Female,W: White,N: None,ST: Victim was Stranger,14: IA,18: Parking Lot/Garage
1477,505BSCTD1AEM: ,20021228,16: ,F: Female,W: White,M: Apparent Minor Injury,: ,14: IA,25: Other/unknown
1478,5J22O5ID1AEM: ,20021123,37: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,14: IA,13: Highway/Road/Alley
1479,7Z24 7YMQ-F3: ,20021130,51: ,F: Female,W: White,M: Apparent Minor Injury,: ,14: IA,13: Highway/Road/Alley
1480,T0 AVBBK2 N: ,20021202,19: ,F: Female,W: White,M: Apparent Minor Injury,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
1481,T01YYEBK2 N: ,20021108,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1482,3U-08 U3VSCT: ,20021221,31: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1483,T-BEBE 728N: ,20021127,45: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,8: Department/Discount Store
1484,T-BYWM 728N: ,20021229,30: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1485,T-BYWT 728N: ,20021230,23: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1486,CI01XVQMT2 N: ,20021211,22: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1487,CI01XYBQG2 N: ,20021229,34: ,F: Female,W: White,I: Possible Internal Injury,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
1488,CI01XYM-V2 N: ,20021222,24: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
1489,YX2IY6EYZU72: ,20021225,41: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1490,TCUKES97 8N: ,20021224,20: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
1491,08-H40F09L8A: ,20021117,34: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1492,08-H40F09L8A: ,20021117,11: ,M: Male,W: White,N: None,SC: Victim was Stepchild,15: KS,20: Residence/Home
1493,19-MW1S10L4I: ,20021230,05: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,18: Parking Lot/Garage
1494,19-MW1S10L4I: ,20021230,03: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,18: Parking Lot/Garage
1495,19-MW1S19G4I: ,20021112,44: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1496,97-WG9497VTD: ,20021118,36: ,M: Male,B: Black,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1497,41-ZR4-4T0W5: ,20021110,39: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1498,5I-UO5S5JAEM: ,20021120,00: Unknown,U: Unknown,U: Unknown,N: None,RU: Relationship Unknown,15: KS,18: Parking Lot/Garage
1499,08-M45P0TD1A: ,20021128,24: ,M: Male,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1500,08-0Q670IN1A: ,20021110,21: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
1501,08-0WU70821A: ,20021126,19: ,F: Female,W: White,N: None,FR: Victim was Friend,15: KS,20: Residence/Home
1502,19-1A3F1T7 I: ,20021201,20: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
1503,19-1WHF1TW I: ,20021124,20: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
1504,223KDKOEMF39: ,20021222,26: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1505,2L-2 VO2K739: ,20021120,21: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1506,J823W2HB-F39: ,20021216,09: ,M: Male,W: White,M: Apparent Minor Injury,SC: Victim was Stepchild,15: KS,20: Residence/Home
1507,J823W2YB-F39: ,20021208,56: ,F: Female,W: White,M: Apparent Minor Injury,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
1508,082UK0PCTD1A: ,20021114,25: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1509,082UK0PCTD1A: ,20021114,20: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1510,2L28W2HQ-F39: ,20021224,34: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1511,2L28W2HQ-F39: ,20021224,35: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1512,3U26K3MRVSCT: ,20021120,34: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1513,3U26K3MRVSCT: ,20021120,28: ,M: Male,W: White,M: Apparent Minor Injury,VO: Victim was Offender,15: KS,20: Residence/Home
1514,4I26X4S9G0W5: ,20021110,30: ,M: Male,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,15: KS,20: Residence/Home
1515,4I26X4S9G0W5: ,20021110,26: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1516,4I26X4S9G0W5: ,20021110,21: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1517,4I26X4S9G0W5: ,20021110,21: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1518,4I26X4S9G0W5: ,20021110,17: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1519,6S2D160HPU72: ,20021220,39: ,M: Male,W: White,B: Apparent Broken Bones,FR: Victim was Friend,15: KS,20: Residence/Home
1520,TCUKCRU7 8N: ,20021220,20: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1521,T-QEC5 728N: ,20021225,15: ,F: Female,B: Black,N: None,AQ: Victim was Acquaintance,15: KS,22: School/College
1522,T-4IEB 728N: ,20021216,42: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1523,T-4IEE 728N: ,20021217,20: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1524,T-4IY3 728N: ,20021105,17: ,F: Female,W: White,M: Apparent Minor Injury,CH: Victim was Child,15: KS,20: Residence/Home
1525,T-VSAP 728N: ,20021216,39: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
1526,T-GAM3 728N: ,20021113,38: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1527,T-GIE5 728N: ,20021109,58: ,F: Female,W: White,N: None,PA: Victim was Parent,15: KS,20: Residence/Home
1528,T- 0WB 728N: ,20021130,38: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,18: Parking Lot/Garage
1529,T- 1CQ 728N: ,20021210,18: ,M: Male,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1530,T- 1CQ 728N: ,20021210,20: ,M: Male,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1531,T- SVT 728N: ,20021115,06: ,F: Female,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
1532,T- AVQ 728N: ,20021203,25: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1533,T- KEE 728N: ,20021223,22: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1534,T- RCT 728N: ,20021215,16: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,"24: Specialty Store (TV, Fur, Etc.)"
1535,T-1YMT 728N: ,20021206,19: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
1536,K2ZR4XAC0W5: ,20021225,24: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1537,2W2H40RUUD1A: ,20021103,34: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1538,2W2H40Z3LD1A: ,20021105,20: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
1539,3A2MW193PX I: ,20021110,24: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,14: Hotel/Motel/Etc.
1540,3A2MW19O0X I: ,20021116,25: ,F: Female,A: Asian/Pacific Islander,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1541,3A2MW1MOFX I: ,20021113,30: ,F: Female,W: White,N: None,OK: Victim was Otherwise Known,15: KS,9: Drug Store/Drs Office/Hospital
1542,P920834J2SCT: ,20021220,25: ,F: Female,W: White,N: None,CS: Victim was Common-Law Spouse,15: KS,18: Parking Lot/Garage
1543,P92083UYUSCT: ,20021217,61: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1544,Z82J 24BMF39: ,20021208,22: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1545,Z82J 2LEUF39: ,20021202,38: ,F: Female,W: White,L: Severe Laceration,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1546,Z82J 2OKOF39: ,20021125,22: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1547,390CJ5JP4F3U: ,20021227,39: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1548,T-G0YQ 728N: ,20021125,21: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1549,6-BRER 728N: ,20021205,32: ,F: Female,W: White,N: None,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
1550,6-BROP 728N: ,20021231,38: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1551,T-4KVQ 728N: ,20021130,14: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1552,T-4REE 728N: ,20021106,45: ,F: Female,W: White,N: None,HR: Homosexual Relationship,15: KS,18: Parking Lot/Garage
1553,T-V-CB 728N: ,20021119,BB: 7-364 Days Old,M: Male,W: White,N: None,GC: Victim was Grandchild,15: KS,20: Residence/Home
1554,T-V-CT 728N: ,20021117,22: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1555,T-VAAM 728N: ,20021109,19: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
1556,T-VKFB 728N: ,20021103,19: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
1557,08-JQKX0TD1A: ,20021110,30: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1558,2L-X 5H2-F39: ,20021124,31: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1559,86- 5LE8F39G: ,20021115,09: ,F: Female,W: White,N: None,OK: Victim was Otherwise Known,15: KS,20: Residence/Home
1560,97-8GJQ9SCTD: ,20021212,15: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1561,T-1YMZ 728N: ,20021210,00: Unknown,U: Unknown,U: Unknown,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
1562,T-DKWT 728N: ,20021217,20: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1563,T0I1MPU72 N: ,20021222,26: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,7: Convenience Store
1564,T0IYMPU72 N: ,20021222,26: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,7: Convenience Store
1565,T- RMQ 728N: ,20021107,18: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1566,T0BAEBV72 N: ,20021106,31: ,M: Male,W: White,B: Apparent Broken Bones,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1567,982JW24Y-F39: ,20021224,21: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1568,IA2MR15G6X I: ,20021109,14: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
1569,CI01XWMC72 N: ,20021204,14: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,22: School/College
1570,S2NK4SAIJW5: ,20021116,25: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
1571,CI01XERCO2 N: ,20021120,27: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
1572,CI01XW3M72 N: ,20021130,17: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
1573,97-W5W79KCTD: ,20021208,03: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
1574,97-W5W79KCTD: ,20021208,01: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
1575,K0BL6XLNX4K: ,20021126,11: ,M: Male,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
1576,3A00Q-FQTW1H: ,20021128,19: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1577,LN0 KOZK6Z8X: ,20021116,24: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1578,LN0 KOZRZ-8B: ,20021107,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,13: Highway/Road/Alley
1579,NH0K72870R5L: ,20021127,48: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1580,NH0K7287XI5O: ,20021216,30: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1581,P902W5HW-83I: ,20021129,31: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
1582,P902W5HW-K39: ,20021201,27: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1583,UG085HP5FL9N: ,20021203,23: ,F: Female,W: White,M: Apparent Minor Injury,VO: Victim was Offender,15: KS,20: Residence/Home
1584,VX0TYBRYMM6X: ,20021215,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1585,Z80X4KO4UR26: ,20021201,27: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1586,CI01RY3962 N: ,20021215,32: ,F: Female,W: White,O: Other Major Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
1587,CI01RYMDF2 N: ,20021124,32: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1588,CI01RYZ-T2 N: ,20021117,17: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
1589,6-V0EM 728N: ,20021226,25: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
1590,T-Q1VS 728N: ,20021111,25: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,25: Other/unknown
1591,08-HKBF0TD1A: ,20021225,39: ,F: Female,W: White,M: Apparent Minor Injury,PA: Victim was Parent,15: KS,20: Residence/Home
1592,19-M03916X I: ,20021109,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
1593,2L-JIZH2-F39: ,20021219,31: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
1594,5J-UKU751AEM: ,20021127,15: ,M: Male,W: White,N: None,NE: Victim was Neighbor,15: KS,20: Residence/Home
1595,5J-UZ3751AEM: ,20021205,23: ,M: Male,B: Black,N: None,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
1596,5J-UZ3751AEM: ,20021205,21: ,M: Male,B: Black,N: None,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
